,Femmes,Hommes,Non-binaires
James Tait Black Prize for Fiction,10,21,2
Costa First Novel Award,15,16,0
Costa Novel Award,15,16,0
Costa Children's Book Award,22,9,0
Costa Poetry Award,10,20,1
Booker Prize,11,23,0
Costa Book of the Year,14,17,0
Costa Biography Award,14,18,0
BSFA Award for Best Novel,7,26,0
Gold Dagger,10,22,0
TS Eliot Prize,10,20,0
Women's Prize for Fiction,27,0,0
Baillie Gifford Prize for Non-Fiction,8,16,0
Ted Hughes Award for New Work in Poetry,5,3,2
James Tait Black Prize for Drama,3,5,0
